,Neighborhood,Venue Category,counts
633,Saint-Gervais,Israeli Restaurant,1
634,Saint-Gervais,Jewish Restaurant,1
635,Saint-Gervais,Portuguese Restaurant,1
636,Saint-Gervais,Restaurant,1
637,Saint-Gervais,Seafood Restaurant,1
638,Saint-Lambert,French Restaurant,10
639,Saint-Lambert,Thai Restaurant,3
640,Saint-Lambert,Italian Restaurant,2
641,Saint-Lambert,Asian Restaurant,1
642,Saint-Lambert,Basque Restaurant,1
643,Saint-Lambert,Chinese Restaurant,1
644,Saint-Lambert,Falafel Restaurant,1
645,Saint-Lambert,Japanese Restaurant,1
646,Saint-Lambert,Korean Restaurant,1
647,Saint-Lambert,Lebanese Restaurant,1
648,Saint-Lambert,Middle Eastern Restaurant,1
649,Saint-Lambert,Peruvian Restaurant,1
650,Saint-Lambert,Savoyard Restaurant,1
651,Saint-Lambert,Sushi Restaurant,1
652,Saint-Lambert,Vietnamese Restaurant,1
653,Saint-Merri,French Restaurant,15
654,Saint-Merri,Alsatian Restaurant,1
655,Saint-Merri,Auvergne Restaurant,1
656,Saint-Merri,Italian Restaurant,1
657,Saint-Merri,Japanese Restaurant,1
658,Saint-Merri,Portuguese Restaurant,1
659,Saint-Merri,Restaurant,1
660,Saint-Merri,Seafood Restaurant,1
661,Saint-Merri,Szechuan Restaurant,1
662,Saint-Thomas-d'Aquin,French Restaurant,18
663,Saint-Thomas-d'Aquin,Italian Restaurant,5
664,Saint-Thomas-d'Aquin,Japanese Restaurant,1
665,Saint-Thomas-d'Aquin,Peruvian Restaurant,1
666,Saint-Thomas-d'Aquin,Vietnamese Restaurant,1
667,Saint-Victor,French Restaurant,20
668,Saint-Victor,Italian Restaurant,3
669,Saint-Victor,Japanese Restaurant,3
670,Saint-Victor,Argentinian Restaurant,1
671,Saint-Victor,Basque Restaurant,1
672,Saint-Victor,Ethiopian Restaurant,1
673,Saint-Victor,Falafel Restaurant,1
674,Saint-Victor,Kebab Restaurant,1
675,Saint-Victor,Mexican Restaurant,1
676,Saint-Victor,Moroccan Restaurant,1
677,Saint-Victor,Peruvian Restaurant,1
678,Saint-Victor,Portuguese Restaurant,1
679,Saint-Victor,Restaurant,1
680,Saint-Victor,Seafood Restaurant,1
681,Saint-Victor,Sushi Restaurant,1
682,Saint-Victor,Szechuan Restaurant,1
683,Saint-Victor,Tapas Restaurant,1
684,Saint-Victor,Tibetan Restaurant,1
685,Saint-Victor,Turkish Restaurant,1
686,Saint-Victor,Vietnamese Restaurant,1
687,Saint-Vincent-de-Paul,Indian Restaurant,6
688,Saint-Vincent-de-Paul,French Restaurant,5
689,Saint-Vincent-de-Paul,African Restaurant,2
690,Saint-Vincent-de-Paul,Italian Restaurant,2
691,Saint-Vincent-de-Paul,Breton Restaurant,1
692,Saint-Vincent-de-Paul,Israeli Restaurant,1
693,Saint-Vincent-de-Paul,Japanese Restaurant,1
694,Sainte-Avoie,French Restaurant,8
695,Sainte-Avoie,Chinese Restaurant,4
696,Sainte-Avoie,Restaurant,4
697,Sainte-Avoie,Italian Restaurant,2
698,Sainte-Avoie,Vegetarian / Vegan Restaurant,2
699,Sainte-Avoie,Vietnamese Restaurant,2
700,Sainte-Avoie,Japanese Restaurant,1
701,Sainte-Avoie,Modern European Restaurant,1
702,Sainte-Avoie,Moroccan Restaurant,1
703,Sainte-Avoie,Okonomiyaki Restaurant,1
704,Sainte-Avoie,Sushi Restaurant,1
705,Sainte-Avoie,Szechuan Restaurant,1
706,Sainte-Marguerite,French Restaurant,9
707,Sainte-Marguerite,Italian Restaurant,2
708,Sainte-Marguerite,Ethiopian Restaurant,1
709,Sainte-Marguerite,Jiangxi Restaurant,1
710,Sainte-Marguerite,Korean Restaurant,1
711,Sainte-Marguerite,Restaurant,1
712,Sainte-Marguerite,Thai Restaurant,1
713,Sainte-Marguerite,Vietnamese Restaurant,1
714,Salpêtrière,French Restaurant,3
715,Salpêtrière,Indian Restaurant,2
716,Salpêtrière,Cajun / Creole Restaurant,1
717,Salpêtrière,Cambodian Restaurant,1
718,Salpêtrière,Chinese Restaurant,1
719,Salpêtrière,Corsican Restaurant,1
720,Salpêtrière,Italian Restaurant,1
721,Salpêtrière,Mediterranean Restaurant,1
722,Salpêtrière,Sushi Restaurant,1
723,Sorbonne,French Restaurant,10
724,Sorbonne,Italian Restaurant,3
725,Sorbonne,Japanese Restaurant,2
726,Sorbonne,Asian Restaurant,1
727,Sorbonne,Ethiopian Restaurant,1
728,Sorbonne,Lebanese Restaurant,1
729,Sorbonne,Mediterranean Restaurant,1
730,Sorbonne,Mexican Restaurant,1
731,Sorbonne,New American Restaurant,1
732,Sorbonne,Portuguese Restaurant,1
733,Sorbonne,Seafood Restaurant,1
734,Sorbonne,Tapas Restaurant,1
735,Sorbonne,Vietnamese Restaurant,1
736,Ternes,French Restaurant,16
737,Ternes,Italian Restaurant,8
738,Ternes,Seafood Restaurant,3
739,Ternes,Japanese Restaurant,2
740,Ternes,Moroccan Restaurant,2
741,Ternes,American Restaurant,1
742,Ternes,Asian Restaurant,1
743,Ternes,Breton Restaurant,1
744,Ternes,Lebanese Restaurant,1
745,Ternes,Restaurant,1
746,Ternes,Sushi Restaurant,1
747,Ternes,Vietnamese Restaurant,1
748,Val-de-Grâce,French Restaurant,6
749,Val-de-Grâce,Asian Restaurant,2
750,Val-de-Grâce,Chinese Restaurant,1
751,Val-de-Grâce,Falafel Restaurant,1
752,Val-de-Grâce,Greek Restaurant,1
753,Val-de-Grâce,Italian Restaurant,1
754,Val-de-Grâce,Japanese Restaurant,1
755,Val-de-Grâce,Korean Restaurant,1
756,Val-de-Grâce,Mexican Restaurant,1
757,Val-de-Grâce,Turkish Restaurant,1
758,Villette,French Restaurant,3
759,Villette,Asian Restaurant,2
760,Villette,Fast Food Restaurant,2
761,Villette,Italian Restaurant,2
762,Villette,African Restaurant,1
763,Villette,American Restaurant,1
764,Villette,Japanese Restaurant,1
765,Villette,Middle Eastern Restaurant,1
766,Villette,Seafood Restaurant,1
767,Vivienne,French Restaurant,9
768,Vivienne,Japanese Restaurant,3
769,Vivienne,Korean Restaurant,2
770,Vivienne,Udon Restaurant,2
771,Vivienne,Corsican Restaurant,1
772,Vivienne,English Restaurant,1
773,Vivienne,Israeli Restaurant,1
774,Vivienne,Ramen Restaurant,1
775,Vivienne,South American Restaurant,1
776,Vivienne,Sushi Restaurant,1
777,Vivienne,Taiwanese Restaurant,1
778,Vivienne,Tapas Restaurant,1
