,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Id,Venue Name,Venue Latitude,Venue Longitude,Venue Category
38,Rochechouart,48.8798119198,2.344861291,4fc26b7de4b008d93b24400a,Petit Musée du Chocolat,48.88404371100612,2.3433293402194977,Chocolate Shop
39,Rochechouart,48.8798119198,2.344861291,4f0c9218e4b0261c9457a02d,Les Saisons,48.87666111519946,2.340131986748549,French Restaurant
40,Rochechouart,48.8798119198,2.344861291,4c8bc8825e048cfa7e90c6cd,Hugo,48.87621999030353,2.3472385160585065,French Restaurant
41,Rochechouart,48.8798119198,2.344861291,4b69c8ddf964a52005b42be3,Maison de la Culture Arménienne de Paris,48.87580494228885,2.3460879921913147,Eastern European Restaurant
42,Rochechouart,48.8798119198,2.344861291,5a250cd0c0cacb41127d1e88,Farine & O,48.877209026769144,2.3394636064767838,Bakery
43,Rochechouart,48.8798119198,2.344861291,56d57ad2498e32a788163463,Pedzouille,48.876035676754185,2.3484711349010468,Bistro
44,Rochechouart,48.8798119198,2.344861291,4d68ed4c9bd6a1434fe557df,Le Grenier à Pain,48.877021679047054,2.34881167326311,Bakery
45,Rochechouart,48.8798119198,2.344861291,4b77c204f964a5206ea92ee3,Square Montholon,48.87697979989747,2.3465681076049805,Park
46,Rochechouart,48.8798119198,2.344861291,59f0b0ec28374e1b47fa7229,Hôtel Parister,48.8753502620414,2.344384366678277,Hotel
47,Rochechouart,48.8798119198,2.344861291,555f2316498ede0757f7f804,Madame Messieurs,48.879262020891716,2.3479913510171735,French Restaurant
48,Rochechouart,48.8798119198,2.344861291,5ae05bfb95d98603da4c5bc0,NESO,48.8760907210035,2.3476316034793854,French Restaurant
49,Rochechouart,48.8798119198,2.344861291,4be4358ecf200f47799b113c,Hôtel de Rocroy,48.879786668187705,2.3508280391962266,Hotel
50,Rochechouart,48.8798119198,2.344861291,59aac9645161136b77de2bc2,Hotel Bienvenue,48.8761485969155,2.3421662987226126,Bed & Breakfast
51,Rochechouart,48.8798119198,2.344861291,4ba0d771f964a520738137e3,Le Rouge et le Verre,48.87636872523512,2.34118290245533,Wine Bar
52,Rochechouart,48.8798119198,2.344861291,5679984f498e4e9a651bd8ea,Le Milton,48.87664948657474,2.3405832426973032,Bar
53,Rochechouart,48.8798119198,2.344861291,4f8d4b30e4b013a9840229ad,Emi-Lee,48.87646430529015,2.349075852800554,Vietnamese Restaurant
54,Rochechouart,48.8798119198,2.344861291,5575790a498ee344cc924e93,L'Orange Verte,48.87947612372211,2.3508817608044916,French Restaurant
55,Rochechouart,48.8798119198,2.344861291,525e7138498ec98dcb1b4fe9,VG,48.87705510186067,2.347964197397232,Vegetarian / Vegan Restaurant
56,Rochechouart,48.8798119198,2.344861291,51b7246e498e4b2dad7fecdd,Hotel du Temps,48.87672331499355,2.347400667286429,Hotel
